quarter,hb_code,location_code,urban_rural,admission_type,specialty_name,episodes,length_of_episode,spells,hb_name,total_occupied_beds,pop
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,25,88,54,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,18,44,33,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,35,163,55,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,20,49,52,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,12,41,46,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,18,89,62,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,General Medicine,13,33,56,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,50,87,55,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,19,38,20,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,18,34,30,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,30,42,35,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,32,27,36,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,23,30,35,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Cardiology,35,34,40,Ayrshire and Arran,82594,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Dermatology,0,5,0,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Geriatric Medicine,0,0,5,Ayrshire and Arran,79602,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Medical Oncology,0,5,5,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Medical Oncology,5,5,5,Ayrshire and Arran,58335,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Renal Medicine,0,5,5,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Renal Medicine,0,10,10,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Renal Medicine,0,5,10,Ayrshire and Arran,72179,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,10,213,10,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,0,45,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,10,267,11,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,5,90,5,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,5,175,5,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,10,170,10,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Rehabilitation Medicine,10,311,5,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Respiratory Medicine,5,0,5,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Respiratory Medicine,5,0,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Respiratory Medicine,5,0,5,Ayrshire and Arran,72179,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Respiratory Medicine,0,5,5,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,335,911,355,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,70,251,70,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,188,633,210,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,181,483,210,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,57,225,60,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,216,699,235,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,General Surgery,166,674,195,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",117,190,140,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",24,61,25,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",66,102,67,Ayrshire and Arran,72179,367990
