Quarter,HB,HBName,Location,All Staffed Beds,Total Occupied Beds,Average Available Staffed Beds,Average Occupied Beds,Percentage Occupancy
2020Q1,SB0801,The Golden Jubilee National Hospital,D102H,14896,10915,163.69230769230768,119.94505494505496,73.27470461868958
2020Q1,SB0801,The Golden Jubilee National Hospital,SB0801,14896,10915,163.69230769230768,119.94505494505496,73.27470461868958
2020Q2,SB0801,The Golden Jubilee National Hospital,D102H,14366,8101,157.86813186813183,89.02197802197803,56.39008770708619
2020Q2,SB0801,The Golden Jubilee National Hospital,SB0801,14366,8101,157.86813186813183,89.02197802197803,56.39008770708619
2020Q3,SB0801,The Golden Jubilee National Hospital,D102H,15442,9934,167.84782608695653,107.97826086956522,64.33104520139878
2020Q3,SB0801,The Golden Jubilee National Hospital,SB0801,15442,9934,167.84782608695653,107.97826086956522,64.33104520139878
2020Q4,SB0801,The Golden Jubilee National Hospital,D102H,15665,11164,170.27173913043478,121.34782608695652,71.26715608043409
2020Q4,SB0801,The Golden Jubilee National Hospital,SB0801,15665,11164,170.27173913043478,121.34782608695652,71.26715608043409
2021Q1,SB0801,The Golden Jubilee National Hospital,D102H,16547,12060,183.85555555555555,134,72.88330210914366
2021Q1,SB0801,The Golden Jubilee National Hospital,SB0801,16547,12060,183.85555555555555,134,72.88330210914366
2021Q2,SB0801,The Golden Jubilee National Hospital,D102H,16159,12269,177.57142857142858,134.82417582417582,75.92672813911751
2021Q2,SB0801,The Golden Jubilee National Hospital,SB0801,16159,12269,177.57142857142858,134.82417582417582,75.92672813911751
2021Q3,SB0801,The Golden Jubilee National Hospital,D102H,16897,12029,183.66304347826087,130.75,71.19015209800557
2021Q3,SB0801,The Golden Jubilee National Hospital,SB0801,16897,12029,183.66304347826087,130.75,71.19015209800557
2020Q1,S08000015,NHS Ayrshire and Arran,A111H,43053,38853,473.1098901098901,426.956043956044,90.24458225907604
2020Q1,S08000015,NHS Ayrshire and Arran,A210H,31574,28350,346.967032967033,311.53846153846155,89.78906695382275
2020Q1,S08000015,NHS Ayrshire and Arran,S08000015,87439,79602,960.868131868132,874.7472527472528,91.03718020562908
2020Q2,S08000015,NHS Ayrshire and Arran,A111H,39567,28239,434.8021978021978,310.31868131868134,71.37008112821292
2020Q2,S08000015,NHS Ayrshire and Arran,A210H,25566,18179,280.94505494505495,199.76923076923077,71.10615661425331
2020Q2,S08000015,NHS Ayrshire and Arran,S08000015,79260,58335,870.989010989011,641.0439560439561,73.5995457986374
2020Q3,S08000015,NHS Ayrshire and Arran,A111H,41011,37505,445.7717391304348,407.6630434782609,91.45107410207018
2020Q3,S08000015,NHS Ayrshire and Arran,A210H,26061,23002,283.2717391304348,250.0217391304348,88.26215417673919
2020Q3,S08000015,NHS Ayrshire and Arran,S08000015,81232,72179,882.9565217391304,784.554347826087,88.85537719125469
2020Q4,S08000015,NHS Ayrshire and Arran,A111H,44270,39411,481.19565217391306,428.3804347826087,89.0241698667269
2020Q4,S08000015,NHS Ayrshire and Arran,A210H,29415,26066,319.7282608695652,283.32608695652175,88.6146523882373
2020Q4,S08000015,NHS Ayrshire and Arran,S08000015,88117,77380,957.7934782608696,841.0869565217391,87.81506406255319
2021Q1,S08000015,NHS Ayrshire and Arran,A111H,44361,40225,492.9,446.94444444444446,90.67649511958705
2021Q1,S08000015,NHS Ayrshire and Arran,A210H,28688,24803,318.75555555555553,275.5888888888889,86.45775237032906
2021Q1,S08000015,NHS Ayrshire and Arran,S08000015,86788,76215,964.3111111111112,846.8333333333334,87.81744019910587
2021Q2,S08000015,NHS Ayrshire and Arran,A111H,44720,41081,491.42857142857144,451.43956043956047,91.86270125223614
2021Q2,S08000015,NHS Ayrshire and Arran,A210H,27905,24867,306.64835164835165,273.2637362637363,89.11306217523742
2021Q2,S08000015,NHS Ayrshire and Arran,S08000015,86764,77846,953.4505494505496,855.4505494505495,89.72154349730303
2021Q3,S08000015,NHS Ayrshire and Arran,A111H,47624,44411,517.6521739130435,482.7282608695652,93.25340164622878
2021Q3,S08000015,NHS Ayrshire and Arran,A210H,28149,25637,305.9673913043478,278.6630434782609,91.0760595403034
2021Q3,S08000015,NHS Ayrshire and Arran,S08000015,90100,82594,979.3478260869564,897.7608695652174,91.669256381798
2020Q1,S08000016,NHS Borders,B120H,20506,16181,225.34065934065933,177.8131868131868,78.90861211352774
2020Q1,S08000016,NHS Borders,S08000016,20597,16272,226.34065934065933,178.8131868131868,79.00179637811333
2020Q2,S08000016,NHS Borders,B120H,17048,10533,187.34065934065933,115.74725274725274,61.784373533552326
2020Q2,S08000016,NHS Borders,S08000016,17048,10533,187.34065934065933,115.74725274725274,61.784373533552326
2020Q3,S08000016,NHS Borders,B120H,17104,13436,185.91304347826087,146.04347826086956,78.55472404115996
2020Q3,S08000016,NHS Borders,S08000016,17104,13436,185.91304347826087,146.04347826086956,78.55472404115996
2020Q4,S08000016,NHS Borders,B120H,18074,15500,196.45652173913044,168.47826086956522,85.75854819077128
2020Q4,S08000016,NHS Borders,S08000016,18074,15500,196.45652173913044,168.47826086956522,85.75854819077128
2021Q1,S08000016,NHS Borders,B120H,19997,17052,222.1888888888889,189.46666666666667,85.2727909186378
2021Q1,S08000016,NHS Borders,S08000016,19997,17052,222.1888888888889,189.46666666666667,85.2727909186378
2021Q2,S08000016,NHS Borders,B120H,19678,17745,216.24175824175825,195,90.17684724057322
2021Q2,S08000016,NHS Borders,S08000016,19678,17745,216.24175824175825,195,90.17684724057322
2021Q3,S08000016,NHS Borders,B120H,19163,17316,208.29347826086956,188.2173913043478,90.36163439962426
2021Q3,S08000016,NHS Borders,S08000016,19163,17316,208.29347826086956,188.2173913043478,90.36163439962426
2020Q1,S08000017,NHS Dumfries and Galloway,Y144H,2017,1528,22.164835164835164,16.791208791208792,75.75607337630144
2020Q1,S08000017,NHS Dumfries and Galloway,Y146H,25997,23256,285.68131868131866,255.56043956043956,89.45647574720161
2020Q1,S08000017,NHS Dumfries and Galloway,S08000017,32568,29251,357.8901098901099,321.43956043956047,89.81515598133137
2020Q2,S08000017,NHS Dumfries and Galloway,Y144H,2460,827,27.032967032967033,9.087912087912088,33.61788617886179
2020Q2,S08000017,NHS Dumfries and Galloway,Y146H,22790,15232,250.43956043956044,167.3846153846154,66.83633172444054
2020Q2,S08000017,NHS Dumfries and Galloway,S08000017,29382,18643,322.8791208791209,204.86813186813183,63.45041181675855
2020Q3,S08000017,NHS Dumfries and Galloway,Y144H,1872,878,20.347826086956523,9.543478260869565,46.9017094017094
2020Q3,S08000017,NHS Dumfries and Galloway,Y146H,24515,21774,266.4673913043478,236.67391304347825,88.8190903528452
