Quarter,Age,Gender,Location,Total Stays,Average Length of Stay (in days)
2020Q1,0-9 ,Female,Ayrshire and Arran,32,1
2020Q1,0-9 ,Male,Ayrshire and Arran,38,1
2020Q1,10-19 ,Female,Ayrshire and Arran,137,2
2020Q1,10-19 ,Male,Ayrshire and Arran,102,2
2020Q1,20-29 ,Female,Ayrshire and Arran,385,2
2020Q1,20-29 ,Male,Ayrshire and Arran,284,2
2020Q1,30-39 ,Female,Ayrshire and Arran,508,3
2020Q1,30-39 ,Male,Ayrshire and Arran,373,2
2020Q1,40-49 ,Female,Ayrshire and Arran,534,3
2020Q1,40-49 ,Male,Ayrshire and Arran,438,3
2020Q1,50-59 ,Female,Ayrshire and Arran,888,3
2020Q1,50-59 ,Male,Ayrshire and Arran,817,6
2020Q1,60-69 ,Female,Ayrshire and Arran,930,5
2020Q1,60-69 ,Male,Ayrshire and Arran,1020,7
2020Q1,70-79 ,Female,Ayrshire and Arran,1272,7
2020Q1,70-79 ,Male,Ayrshire and Arran,1266,4
2020Q1,80-89 ,Female,Ayrshire and Arran,1087,4
2020Q1,80-89 ,Male,Ayrshire and Arran,884,8
2020Q1,90 +,Female,Ayrshire and Arran,304,19
2020Q1,90 +,Male,Ayrshire and Arran,161,11
2020Q2,0-9 ,Female,Ayrshire and Arran,10,1
2020Q2,0-9 ,Male,Ayrshire and Arran,25,1
2020Q2,10-19 ,Female,Ayrshire and Arran,79,2
2020Q2,10-19 ,Male,Ayrshire and Arran,58,1
2020Q2,20-29 ,Female,Ayrshire and Arran,260,1
2020Q2,20-29 ,Male,Ayrshire and Arran,234,1
2020Q2,30-39 ,Female,Ayrshire and Arran,385,14
2020Q2,30-39 ,Male,Ayrshire and Arran,338,2
2020Q2,40-49 ,Female,Ayrshire and Arran,418,4
2020Q2,40-49 ,Male,Ayrshire and Arran,423,4
2020Q2,50-59 ,Female,Ayrshire and Arran,615,4
2020Q2,50-59 ,Male,Ayrshire and Arran,701,6
2020Q2,60-69 ,Female,Ayrshire and Arran,722,5
2020Q2,60-69 ,Male,Ayrshire and Arran,829,6
2020Q2,70-79 ,Female,Ayrshire and Arran,879,6
2020Q2,70-79 ,Male,Ayrshire and Arran,895,4
2020Q2,80-89 ,Female,Ayrshire and Arran,773,8
2020Q2,80-89 ,Male,Ayrshire and Arran,663,7
2020Q2,90 +,Female,Ayrshire and Arran,187,15
2020Q2,90 +,Male,Ayrshire and Arran,124,12
2020Q3,0-9 ,Female,Ayrshire and Arran,14,3
2020Q3,0-9 ,Male,Ayrshire and Arran,45,1
2020Q3,10-19 ,Female,Ayrshire and Arran,124,1
2020Q3,10-19 ,Male,Ayrshire and Arran,108,1
2020Q3,20-29 ,Female,Ayrshire and Arran,383,2
2020Q3,20-29 ,Male,Ayrshire and Arran,304,2
2020Q3,30-39 ,Female,Ayrshire and Arran,521,2
2020Q3,30-39 ,Male,Ayrshire and Arran,441,2
2020Q3,40-49 ,Female,Ayrshire and Arran,566,5
2020Q3,40-49 ,Male,Ayrshire and Arran,520,5
2020Q3,50-59 ,Female,Ayrshire and Arran,896,4
2020Q3,50-59 ,Male,Ayrshire and Arran,848,4
2020Q3,60-69 ,Female,Ayrshire and Arran,933,5
2020Q3,60-69 ,Male,Ayrshire and Arran,1103,5
2020Q3,70-79 ,Female,Ayrshire and Arran,1209,6
2020Q3,70-79 ,Male,Ayrshire and Arran,1300,8
2020Q3,80-89 ,Female,Ayrshire and Arran,962,9
2020Q3,80-89 ,Male,Ayrshire and Arran,832,7
2020Q3,90 +,Female,Ayrshire and Arran,292,10
2020Q3,90 +,Male,Ayrshire and Arran,158,7
2020Q4,0-9 ,Female,Ayrshire and Arran,21,1
2020Q4,0-9 ,Male,Ayrshire and Arran,34,3
2020Q4,10-19 ,Female,Ayrshire and Arran,122,2
2020Q4,10-19 ,Male,Ayrshire and Arran,68,2
2020Q4,20-29 ,Female,Ayrshire and Arran,385,4
2020Q4,20-29 ,Male,Ayrshire and Arran,239,2
2020Q4,30-39 ,Female,Ayrshire and Arran,455,3
2020Q4,30-39 ,Male,Ayrshire and Arran,368,2
2020Q4,40-49 ,Female,Ayrshire and Arran,451,5
2020Q4,40-49 ,Male,Ayrshire and Arran,468,3
2020Q4,50-59 ,Female,Ayrshire and Arran,846,3
2020Q4,50-59 ,Male,Ayrshire and Arran,815,3
2020Q4,60-69 ,Female,Ayrshire and Arran,899,5
2020Q4,60-69 ,Male,Ayrshire and Arran,968,7
2020Q4,70-79 ,Female,Ayrshire and Arran,1160,8
2020Q4,70-79 ,Male,Ayrshire and Arran,1128,11
2020Q4,80-89 ,Female,Ayrshire and Arran,950,8
2020Q4,80-89 ,Male,Ayrshire and Arran,823,8
2020Q4,90 +,Female,Ayrshire and Arran,272,9
2020Q4,90 +,Male,Ayrshire and Arran,153,8
2021Q1,0-9 ,Female,Ayrshire and Arran,10,1
2021Q1,0-9 ,Male,Ayrshire and Arran,22,1
2021Q1,10-19 ,Female,Ayrshire and Arran,75,1
2021Q1,10-19 ,Male,Ayrshire and Arran,66,2
